Name station;URL_format_A4;URL_public_transport_poster;URL_Shopping-at-the-station_poster;URL interactive station map general;Didok number;URL interactive station map DE;URL interactive station map FR;URL interactive station map IT;URL interactive station map EN;Plan owner;lod;Geopos;OPUIC;Stop name;Station abbreviation;sloid;transport company
Arth-Goldau;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-arth-goldau-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-arth-goldau-plakat.pdf;;;5004.0;;;;;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.04904488341463, 8.549446300669958;8505004;Arth-Goldau;GD;ch:1:sloid:5004;11
Genève-Eaux-Vives;;;;https://plans.trafimage.ch/geneve-eaux-vives;16273.0;https://plans.trafimage.ch/geneve-eaux-vives?lang=de;https://plans.trafimage.ch/geneve-eaux-vives?lang=fr;https://plans.trafimage.ch/geneve-eaux-vives?lang=it;https://plans.trafimage.ch/geneve-eaux-vives?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;46.20144540651997, 6.16656958815968;8516273;Genève-Eaux-Vives;GEV;ch:1:sloid:16273;11
Langenthal;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-langenthal-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-langenthal-plakat.pdf;;;8100.0;;;;;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.21730287148524, 7.784715135554721;8508100;Langenthal;LTH;ch:1:sloid:8100;11
Lugano;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-lugano-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-lugano-plakat.pdf;;https://plans.trafimage.ch/lugano;5300.0;https://plans.trafimage.ch/lugano#?lang=de;https://plans.trafimage.ch/lugano#?lang=fr;https://plans.trafimage.ch/lugano#?lang=it;https://plans.trafimage.ch/lugano#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;46.0055005499147, 8.94699530850776;8505300;Lugano;LG;ch:1:sloid:5300;11
Rorschach;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-rorschach-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-rorschach-plakat.pdf;;;6311.0;;;;;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.47800197542587, 9.505141287395228;8506311;Rorschach;RS;ch:1:sloid:6311;11
Rotkreuz;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-rotkreuz-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-rotkreuz-plakat.pdf;;;2202.0;;;;;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.14176416722361, 8.430495263903849;8502202;Rotkreuz;RK;ch:1:sloid:2202;11
Schaffhausen;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-schaffhausen-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-schaffhausen-plakat.pdf;;https://plans.trafimage.ch/schaffhausen;3424.0;https://plans.trafimage.ch/schaffhausen#?lang=de;https://plans.trafimage.ch/schaffhausen#?lang=fr;https://plans.trafimage.ch/schaffhausen#?lang=it;https://plans.trafimage.ch/schaffhausen#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.69828151482092, 8.63275578013484;8503424;Schaffhausen;SH;ch:1:sloid:3424;11
St. Gallen;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-st-gallen-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-st-gallen-plakat.pdf;;https://plans.trafimage.ch/st-gallen;6302.0;https://plans.trafimage.ch/st-gallen#?lang=de;https://plans.trafimage.ch/st-gallen#?lang=fr;https://plans.trafimage.ch/st-gallen#?lang=it;https://plans.trafimage.ch/st-gallen#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.423178949902116, 9.369896662720434;8506302;St Gallen;SG;ch:1:sloid:6302;11
Uster;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-uster-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-uster-plakat.pdf;;https://plans.trafimage.ch/uster;3125.0;https://plans.trafimage.ch/uster#?lang=de;https://plans.trafimage.ch/uster#?lang=fr;https://plans.trafimage.ch/uster#?lang=it;https://plans.trafimage.ch/uster#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.35036900902118, 8.718709159486622;8503125;Uster;UST;ch:1:sloid:3125;11
Zürich Oerlikon;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-zuerich-oerlikon-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-zuerich-oerlikon-plakat.pdf;;https://plans.trafimage.ch/zuerich-oerlikon;3006.0;https://plans.trafimage.ch/zuerich-oerlikon#?lang=de;https://plans.trafimage.ch/zuerich-oerlikon#?lang=fr;https://plans.trafimage.ch/zuerich-oerlikon#?lang=it;https://plans.trafimage.ch/zuerich-oerlikon#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.41153004120178, 8.544139909988267;8503006;Zürich Oerlikon;ZOER;ch:1:sloid:3006;11
Brig;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-brig-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-brig-plakat.pdf;;https://plans.trafimage.ch/brig;1609.0;https://plans.trafimage.ch/brig#?lang=de;https://plans.trafimage.ch/brig#?lang=fr;https://plans.trafimage.ch/brig#?lang=it;https://plans.trafimage.ch/brig#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;46.31942270578004, 7.988094739403514;8501609;Brig;BR;ch:1:sloid:1609;11
Genève-Aéroport;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-geneve-aeroport-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-geneve-aeroport-plakat.pdf;;https://plans.trafimage.ch/geneve-aeroport;1026.0;https://plans.trafimage.ch/geneve-aeroport#?lang=de;https://plans.trafimage.ch/geneve-aeroport#?lang=fr;https://plans.trafimage.ch/geneve-aeroport#?lang=it;https://plans.trafimage.ch/geneve-aeroport#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;46.23253853438607, 6.111985572600153;8501026;Genève-Aéroport;GEAP;ch:1:sloid:1026;11
Landquart;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-landquart-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-landquart-plakat.pdf;;;9002.0;;;;;SBB;http://lod.opentransportdata.swiss/didok/didok85;46.96744042835521, 9.554044692079533;8509002;Landquart;LQ;ch:1:sloid:9002;11
Lenzburg;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-lenzburg-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-lenzburg-plakat.pdf;;;2119.0;;;;;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.39119975544039, 8.170392889345154;8502119;Lenzburg;LB;ch:1:sloid:2119;11
Nyon;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-nyon-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-nyon-plakat.pdf;;;1030.0;;;;;SBB;http://lod.opentransportdata.swiss/didok/didok85;46.384418967533634, 6.235966130629612;8501030;Nyon;NY;ch:1:sloid:1030;11
Oensingen;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-oensingen-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-oensingen-plakat.pdf;;;212.0;;;;;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.285035105575595, 7.709870322003079;8500212;Oensingen;OEN;ch:1:sloid:212;11
Sion;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-sion-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-sion-plakat.pdf;;https://plans.trafimage.ch/sion;1506.0;https://plans.trafimage.ch/sion#?lang=de;https://plans.trafimage.ch/sion#?lang=fr;https://plans.trafimage.ch/sion#?lang=it;https://plans.trafimage.ch/sion#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;46.227553196395895, 7.359197034574581;8501506;Sion;SIO;ch:1:sloid:1506;11
Wil SG;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-wil-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-wil-plakat.pdf;;https://plans.trafimage.ch/wil;6206.0;https://plans.trafimage.ch/wil#?lang=de;https://plans.trafimage.ch/wil#?lang=fr;https://plans.trafimage.ch/wil#?lang=it;https://plans.trafimage.ch/wil#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.462413242743715, 9.040993050468307;8506206;Wil SG;WIL;ch:1:sloid:6206;11
Zürich Enge;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-zuerich-enge-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-zuerich-enge-plakat.pdf;;https://plans.trafimage.ch/zuerich-enge;3010.0;https://plans.trafimage.ch/zuerich-enge#?lang=de;https://plans.trafimage.ch/zuerich-enge#?lang=fr;https://plans.trafimage.ch/zuerich-enge#?lang=it;https://plans.trafimage.ch/zuerich-enge#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.364098818019286, 8.53082057474785;8503010;Zürich Enge;ZEN;ch:1:sloid:3010;11
Zürich Stadelhofen;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-zuerich-stadelhofen-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-zuerich-stadelhofen-plakat.pdf;;https://plans.trafimage.ch/zuerich-stadelhofen;3003.0;https://plans.trafimage.ch/zuerich-stadelhofen#?lang=de;https://plans.trafimage.ch/zuerich-stadelhofen#?lang=fr;https://plans.trafimage.ch/zuerich-stadelhofen#?lang=it;https://plans.trafimage.ch/zuerich-stadelhofen#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.36660976671019, 8.548489088449456;8503003;Zürich Stadelhofen;ZSTH;ch:1:sloid:3003;11
Baden;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-baden-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-baden-plakat.pdf;;https://plans.trafimage.ch/baden;3504.0;https://plans.trafimage.ch/baden#?lang=de;https://plans.trafimage.ch/baden#?lang=fr;https://plans.trafimage.ch/baden#?lang=it;https://plans.trafimage.ch/baden#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.476424284622105, 8.307709474036757;8503504;Baden;BD;ch:1:sloid:3504;11
Basel SBB;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-basel-sbb-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-basel-sbb-plakat.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-basel-sbb-shopping.pdf;https://plans.trafimage.ch/basel-sbb;10.0;https://plans.trafimage.ch/basel-sbb#?lang=de;https://plans.trafimage.ch/basel-sbb#?lang=fr;https://plans.trafimage.ch/basel-sbb#?lang=it;https://plans.trafimage.ch/basel-sbb#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.54741205505015, 7.589562790156526;8500010;Basel SBB;BS;ch:1:sloid:10;11
Bülach;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-buelach-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-buelach-plakat.pdf;;;3400.0;;;;;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.52394992292488, 8.53620919890506;8503400;Bülach;BUE;ch:1:sloid:3400;11
Delémont;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-delemont-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-delemont-plakat.pdf;;https://plans.trafimage.ch/delemont;109.0;https://plans.trafimage.ch/delemont#?lang=de;https://plans.trafimage.ch/delemont#?lang=fr;https://plans.trafimage.ch/delemont#?lang=it;https://plans.trafimage.ch/delemont#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.36201270009398, 7.350063323401273;8500109;Delémont;DMT;ch:1:sloid:109;11
Fribourg/Freiburg;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-fribourg-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-fribourg-plakat.pdf;;https://plans.trafimage.ch/fribourg;4100.0;https://plans.trafimage.ch/fribourg#?lang=de;https://plans.trafimage.ch/fribourg#?lang=fr;https://plans.trafimage.ch/fribourg#?lang=it;https://plans.trafimage.ch/fribourg#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;46.80314817217614, 7.151046883336622;8504100;Fribourg/Freiburg;FRI;ch:1:sloid:4100;11
Konstanz;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-kreuzlingen-konstanz-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-kreuzlingen-konstanz-plakat.pdf;;;6129.0;;;;;;;;;;;;
La Chaux-de-Fonds;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-la-chaux-de-fonds-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-la-chaux-de-fonds-plakat.pdf;;;4314.0;;;;;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.09837435548115, 6.825982721046245;8504314;La Chaux-de-Fonds;CF;ch:1:sloid:4314;11
Rorschach Hafen;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-rorschach-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-rorschach-plakat.pdf;;;6306.0;;;;;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.47858991837843, 9.492923293623763;8506306;Rorschach Hafen;RSHF;ch:1:sloid:6306;11
Solothurn;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-solothurn-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-solothurn-plakat.pdf;;https://plans.trafimage.ch/solothurn;207.0;https://plans.trafimage.ch/solothurn#?lang=de;https://plans.trafimage.ch/solothurn#?lang=fr;https://plans.trafimage.ch/solothurn#?lang=it;https://plans.trafimage.ch/ssolothurn#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;47.20419250287765, 7.542689210978396;8500207;Solothurn;SO;ch:1:sloid:207;11
Thun;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-thun-a4.pdf;https://www.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-thun-plakat.pdf;;https://plans.trafimage.ch/thun;7100.0;https://plans.trafimage.ch/thun#?lang=de;https://plans.trafimage.ch/thun#?lang=fr;https://plans.trafimage.ch/thun#?lang=it;https://plans.trafimage.ch/thun#?lang=en;SBB;http://lod.opentransportdata.swiss/didok/didok85;46.7548527305928, 7.629605828669477;8507100;Thun;TH;ch:1:sloid:7100;33
